dismissed_cases,income
4505,30398
2859,30603
9356,31478
5235,31888
2721,32074
4181,32944
2459,33758
1723,35049
1091,35960
1830,35996
2134,36622
3434,37064
4154,37084
1025,38444
788,39057
918,39079
828,41221
256,42769
1798,42951
1207,43253
687,43305
2913,43425
661,43736
1786,43990
1250,44627
392,44763
3536,45661
1586,46008
744,46065
1930,46103
924,49914
