dismissed_cases,income
498,14916
2032,19589
4801,19816
4043,21307
1744,21869
4756,22132
208,23457
2838,23781
780,24140
3128,24847
4326,25845
3623,26354
7006,27203
385,28269
3110,28337
2614,29099
4992,29296
3077,29811
