#,count,race,income
249,223,Other,29811
250,349,Other,30398
251,155,Other,30603
252,653,Other,31478
253,425,Other,31888
254,178,Other,32074
255,247,Other,32944
256,188,Other,33758
257,81,Other,35049
258,73,Other,35960
259,93,Other,35996
260,62,Other,36622
261,245,Other,37064
262,311,Other,37084
263,78,Other,38444
264,58,Other,39057
265,62,Other,39079
266,38,Other,41221
267,13,Other,42769
268,54,Other,42951
269,21,Other,43253
270,34,Other,43305
271,116,Other,43425
272,34,Other,43736
273,158,Other,43990
274,72,Other,44627
275,16,Other,44763
276,251,Other,45661
277,120,Other,46008
278,15,Other,46065
279,130,Other,46103
280,50,Other,49914
281,32,Other,50252
282,21,Other,50318
283,51,Other,51050
284,23,Other,51589
285,79,Other,51712
286,63,Other,51713
287,80,Other,56649
288,26,Other,59693
289,133,Other,59900
290,24,Other,60384
291,34,Other,60483
292,96,Other,60635
293,96,Other,60680
294,52,Other,62427
295,66,Other,62981
296,20,Other,70706
297,217,Other,71663
298,228,Other,74898
299,134,Other,76424
300,87,Other,77639
301,214,Other,83382
302,4,Other,84331
303,19,Other,87696
304,41,Other,89038
305,62,Other,91197
306,125,Other,91851
307,71,Other,92870
308,7,Other,101237
309,30,White,14916
310,62,White,19589
311,356,White,19816
312,199,White,21307
313,110,White,21869
314,349,White,22132
315,10,White,23457
316,211,White,23781
317,41,White,24140
318,185,White,24847
319,304,White,25845
320,219,White,26354
321,479,White,27203
322,22,White,28269
323,238,White,28337
324,143,White,29099
325,341,White,29296
326,223,White,29811
327,349,White,30398
328,155,White,30603
329,653,White,31478
330,425,White,31888
331,178,White,32074
332,247,White,32944
333,188,White,33758
334,81,White,35049
335,73,White,35960
336,93,White,35996
337,62,White,36622
338,245,White,37064
339,311,White,37084
340,78,White,38444
341,58,White,39057
342,62,White,39079
343,38,White,41221
344,13,White,42769
345,54,White,42951
346,21,White,43253
347,34,White,43305
348,116,White,43425
349,34,White,43736
350,158,White,43990
351,72,White,44627
352,16,White,44763
353,251,White,45661
354,120,White,46008
355,15,White,46065
356,130,White,46103
357,50,White,49914
358,32,White,50252
359,21,White,50318
360,51,White,51050
361,23,White,51589
362,79,White,51712
363,63,White,51713
364,80,White,56649
365,26,White,59693
366,133,White,59900
367,24,White,60384
368,34,White,60483
369,96,White,60635
370,96,White,60680
371,52,White,62427
372,66,White,62981
373,20,White,70706
374,217,White,71663
375,228,White,74898
376,134,White,76424
377,87,White,77639
378,214,White,83382
379,4,White,84331
380,19,White,87696
381,41,White,89038
382,62,White,91197
383,125,White,91851
384,71,White,92870
385,7,White,101237
