#,count,race,income
251,4,Other,41221
252,1,Other,42769
253,5,Other,42951
254,2,Other,43253
255,3,Other,43305
256,5,Other,43425
257,1,Other,43736
258,10,Other,43990
259,2,Other,44627
260,1,Other,44763
261,8,Other,45661
262,4,Other,46008
263,8,Other,46065
264,5,Other,46103
265,6,Other,49914
266,4,Other,50318
267,8,Other,51050
268,1,Other,51589
269,8,Other,51712
270,9,Other,51713
271,12,Other,56649
272,3,Other,59693
273,15,Other,59900
274,7,Other,60384
275,5,Other,60483
276,8,Other,60635
277,12,Other,60680
278,10,Other,62427
279,4,Other,62981
280,11,Other,70706
281,297,Other,71663
282,22,Other,74898
283,14,Other,76424
284,12,Other,77639
285,21,Other,83382
286,2,Other,84331
287,8,Other,87696
288,6,Other,89038
289,11,Other,91197
290,62,Other,91851
291,11,Other,92870
292,1,Other,101237
293,10,White,19589
294,7,White,19816
295,7,White,21307
296,4,White,21869
297,7,White,22132
298,4,White,23781
299,1,White,24140
300,9,White,24847
301,9,White,25845
302,10,White,26354
303,11,White,27203
304,4,White,28337
305,137,White,29099
306,17,White,29296
307,6,White,29811
308,5,White,30398
309,6,White,30603
310,9,White,31478
311,8,White,31888
312,9,White,32074
313,16,White,32944
314,7,White,33758
315,4,White,35049
316,7,White,35960
317,8,White,35996
318,5,White,36622
319,6,White,37064
320,10,White,37084
321,5,White,38444
322,1,White,39057
323,1,White,39079
324,4,White,41221
325,1,White,42769
326,5,White,42951
327,2,White,43253
328,3,White,43305
329,5,White,43425
330,1,White,43736
331,10,White,43990
332,2,White,44627
333,1,White,44763
334,8,White,45661
335,4,White,46008
336,8,White,46065
337,5,White,46103
338,6,White,49914
339,4,White,50318
340,8,White,51050
341,1,White,51589
342,8,White,51712
343,9,White,51713
344,12,White,56649
345,3,White,59693
346,15,White,59900
347,7,White,60384
348,5,White,60483
349,8,White,60635
350,12,White,60680
351,10,White,62427
352,4,White,62981
353,11,White,70706
354,297,White,71663
355,22,White,74898
356,14,White,76424
357,12,White,77639
358,21,White,83382
359,2,White,84331
360,8,White,87696
361,6,White,89038
362,11,White,91197
363,62,White,91851
364,11,White,92870
365,1,White,101237
